season,date,team,rival_team,home_adv,last_season_team,last_season_rival,pct_wins,avg_goals_scored,avg_goals_received,goal_difference,pct_wins_rival,avg_goals_scored_rival,avg_goals_received_rival,goal_difference_rival,pct_wins_vs_rival,avg_goals_scored_vs_rival,avg_goals_received_vs_rival,goal_difference_vs_rival,AvgH,AvgD,AvgA,goals_team,goals_rival,result
2010-11,2010-10-23,Real Madrid,Santander,1,2,16,0.7,2.6,0.6,20,0.3,0.8,1.5,-7,1.0,1.6,0.0,8,1.14,7.39,19.14,6,1,1
2010-11,2010-10-23,Valencia,Mallorca,1,3,5,0.7,1.6,0.9,7,0.3,0.8,1.2,-4,0.2,1.4,2.0,-3,1.57,3.79,5.99,1,2,-1
2010-11,2010-10-23,Zaragoza,Barcelona,1,14,1,0.1,1.2,1.8,-6,0.8,2.3,0.9,14,0.2,1.2,3.2,-10,11.29,5.75,1.25,0,2,-1
2010-11,2010-10-24,Almeria,Hercules,1,13,21,0.2,1.3,1.3,0,0.29,1.0,1.14,-1,0.0,0.0,0.0,0,2.21,3.27,3.26,1,1,0
2010-11,2010-10-24,Espanol,Levante,1,11,21,0.5,0.8,1.3,-5,0.2,1.0,2.3,-13,0.4,1.0,0.6,2,1.76,3.49,4.82,2,1,1
2010-11,2010-10-24,Getafe,Sp Gijon,1,6,15,0.5,1.7,1.2,5,0.2,1.0,1.5,-5,0.5,2.0,1.0,4,1.74,3.5,4.84,3,0,1
2010-11,2010-10-24,Osasuna,Malaga,1,12,17,0.2,0.9,1.0,-1,0.2,1.6,2.0,-4,0.0,1.6,2.2,-3,2.14,3.26,3.49,3,0,1
2010-11,2010-10-24,Sevilla,Ath Bilbao,1,4,8,0.5,2.0,1.4,6,0.4,1.5,1.6,-1,0.8,2.8,0.4,12,1.72,3.53,4.91,4,3,1
2010-11,2010-10-24,Villarreal,Ath Madrid,1,7,9,0.6,2.1,1.3,8,0.5,1.6,1.2,4,0.6,2.6,1.8,4,2.26,3.29,3.14,2,0,1
2010-11,2010-10-25,Sociedad,La Coruna,1,21,10,0.2,1.0,1.6,-6,0.1,0.5,1.6,-11,0.6,0.8,0.6,1,2.09,3.26,3.56,3,0,1
2010-11,2010-10-30,Barcelona,Sevilla,1,1,4,0.8,2.1,0.8,13,0.5,1.9,1.6,3,0.8,3.0,0.6,12,1.3,5.3,9.76,5,0,1
2010-11,2010-10-30,Hercules,Real Madrid,1,21,2,0.25,1.0,1.12,-1,0.7,2.8,0.6,22,0.0,0.0,0.0,0,9.79,5.08,1.31,1,3,-1
2010-11,2010-10-30,Valencia,Zaragoza,1,3,14,0.6,1.4,1.0,4,0.0,1.1,2.0,-9,0.6,1.6,1.2,2,1.43,4.25,7.5,1,1,0
2010-11,2010-10-31,Ath Madrid,Almeria,1,9,13,0.4,1.3,1.3,0,0.1,1.0,1.2,-2,0.4,2.4,1.4,5,1.53,4.02,6.16,1,1,0
2010-11,2010-10-31,La Coruna,Espanol,1,10,11,0.1,0.4,1.6,-12,0.6,1.0,1.3,-3,0.4,1.2,1.6,-2,2.6,3.24,2.69,3,0,1
2010-11,2010-10-31,Ath Bilbao,Getafe,1,8,6,0.4,1.7,1.9,-2,0.6,1.9,1.1,8,0.2,0.8,1.2,-2,2.01,3.4,3.63,3,0,1
2010-11,2010-10-31,Santander,Osasuna,1,16,12,0.3,0.8,1.6,-8,0.2,0.9,0.9,0,0.6,1.4,0.6,4,2.42,3.19,2.93,4,1,1
2010-11,2010-10-31,Sp Gijon,Villarreal,1,15,7,0.2,0.9,1.7,-8,0.7,2.1,0.9,12,0.25,0.5,1.0,-2,3.42,3.36,2.11,1,1,0
2010-11,2010-10-31,Malaga,Sociedad,1,17,21,0.2,1.5,2.2,-7,0.3,1.3,1.4,-1,0.4,1.6,2.2,-3,2.06,3.35,3.58,1,2,-1
2010-11,2010-11-01,Mallorca,Levante,1,5,21,0.4,0.9,0.9,0,0.2,1.1,2.4,-13,0.6,2.0,1.0,5,1.66,3.68,5.34,2,1,1
2010-11,2010-11-06,Espanol,Malaga,1,11,17,0.5,0.8,1.5,-7,0.2,1.5,2.2,-7,0.6,1.8,1.6,1,1.89,3.4,4.09,1,0,1
2010-11,2010-11-06,Sociedad,Santander,1,21,16,0.4,1.5,1.5,0,0.4,1.1,1.5,-4,0.4,1.2,0.8,2,2.08,3.28,3.6,1,0,1
2010-11,2010-11-07,Almeria,Sp Gijon,1,13,15,0.1,0.9,1.1,-2,0.2,0.9,1.7,-8,0.5,1.5,1.0,2,2.09,3.26,3.54,1,1,0
2010-11,2010-11-07,Getafe,Barcelona,1,6,1,0.5,1.7,1.3,4,0.8,2.3,0.6,17,0.0,0.4,1.2,-4,8.69,4.9,1.34,1,3,-1
2010-11,2010-11-07,Levante,La Coruna,1,21,10,0.2,1.1,2.1,-10,0.1,0.6,1.6,-10,0.2,0.4,0.6,-1,2.34,3.21,3.08,1,2,-1
2010-11,2010-11-07,Osasuna,Hercules,1,12,21,0.2,0.9,1.1,-2,0.22,1.0,1.33,-3,0.0,0.0,0.0,0,2.07,3.26,3.64,3,0,1
2010-11,2010-11-07,Real Madrid,Ath Madrid,1,2,9,0.7,2.6,0.6,20,0.4,1.3,1.3,0,0.8,2.2,1.2,5,1.3,5.36,9.36,2,0,1
2010-11,2010-11-07,Villarreal,Ath Bilbao,1,7,8,0.6,2.0,1.0,10,0.5,1.9,1.4,5,0.8,2.4,1.2,6,1.81,3.51,4.4,4,1,1
2010-11,2010-11-07,Zaragoza,Mallorca,1,14,5,0.0,1.0,1.8,-8,0.5,1.1,0.9,2,0.0,1.4,2.4,-5,2.37,3.24,3.0,3,2,1
2010-11,2010-11-08,Sevilla,Valencia,1,4,3,0.5,1.7,1.8,-1,0.6,1.5,0.9,6,0.4,1.0,1.4,-2,2.19,3.37,3.22,2,0,1
2010-11,2010-11-13,Ath Bilbao,Almeria,1,8,13,0.4,1.8,1.8,0,0.1,0.8,0.9,-1,0.4,2.2,1.6,3,1.67,3.68,5.09,1,0,1
2010-11,2010-11-13,Ath Madrid,Osasuna,1,9,12,0.4,1.3,1.2,1,0.3,1.1,1.0,1,0.2,0.8,2.0,-6,1.61,3.75,5.57,3,0,1
2010-11,2010-11-13,Barcelona,Villarreal,1,1,7,0.8,2.2,0.7,15,0.7,2.1,0.8,13,0.4,2.2,1.6,3,1.23,5.82,11.71,3,1,1
